,id,created_time,text
39,1503055048435068929,2022-03-13 17:07:03+00:00,"I requested through my #Tweet for #Unemployment youth on 24.03.2021..
After One year @TelanganaCMO declared and increased age limit in #assembly sessions .😍
@KTRTRS
@RaoKavitha @trspartyonline https://t.co/zqyCVnk63C"
40,1503053705729388544,2022-03-13 17:01:43+00:00,"#Election point of view #CORONA boon AND Doom for #BJP:
1. Covid miss management: #Oxygen #Hospital #Ganga #Deadbody 
2. Mass #migration from metro to #villages/towns 
3. High #Layoff #Unemployment

                 Vs

1. #Rashan #Namak 

We have a clear winner 👍"
41,1503052659565088768,2022-03-13 16:57:34+00:00,Government is for people...Why it's so hard to understand for Indian government. #reducecryptotax #UnfairCryptoTax #unemployment
42,1503047219078959110,2022-03-13 16:35:56+00:00,"RT @Dawoodpotojamal: Entire #Sindh has become #Thar; where #poverty, #unemployment, highly #contaminated #water &amp; #suicides coupled with #c…"
43,1503047001843572736,2022-03-13 16:35:05+00:00,An acceptable level of #unemployment means that the government economist to whom it is acceptable still has a job.
44,1503046051980140544,2022-03-13 16:31:18+00:00,RT @_CEPHRC: The @ODRConnect Portal is working to reduce #unemployment in India and to create an #EducatedIndia. Wake up now or parties lik…
45,1503045733355642884,2022-03-13 16:30:02+00:00,RT @AadhaarSucks: The @ODRConnect Portal is working to reduce #unemployment in India and to create an #EducatedIndia. Wake up now or partie…
46,1503044673450958854,2022-03-13 16:25:50+00:00,"RT @Dawoodpotojamal: Entire #Sindh has become #Thar; where #poverty, #unemployment, highly #contaminated #water &amp; #suicides coupled with #c…"
47,1503032563698479104,2022-03-13 15:37:42+00:00,RT @VATT_research: Did you know that the consequences of losing one’s job vary across countries? A column @voxeu just dropped by VATT senio…
48,1503030772499898368,2022-03-13 15:30:35+00:00,"RT @Dawoodpotojamal: Entire #Sindh has become #Thar; where #poverty, #unemployment, highly #contaminated #water &amp; #suicides coupled with #c…"
49,1503030037431394305,2022-03-13 15:27:40+00:00,Get Your #Resume Through ATSs To Land All The #Job Interviews You Want In 2022 - Friday 3/18 at 2pmET/11amPT register @ https://t.co/5kArh9x6H7 #career #careers #jobsearch #jobs #ageism #unemployment #careerchange #economicrecovery #resumetips #jobhunting https://t.co/4xg1qISxgA https://t.co/943a1POjcA
50,1503029423595008000,2022-03-13 15:25:14+00:00,"RT @Dawoodpotojamal: Entire #Sindh has become #Thar; where #poverty, #unemployment, highly #contaminated #water &amp; #suicides coupled with #c…"
